date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:32:32	1135114/1135114	---M--	200	added ('OK')	image/png	etag:%2211520a-584b96ea68307%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/main-visual02.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/main-visual02.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:33:17	1538505/1538505	---M--	200	added ('OK')	image/png	etag:%221779c9-57551187de95e%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/main-visual.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/main-visual.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:36:00	1671621/1671621	---M--	200	added ('OK')	image/png	etag:%221981c5-5755118794daf%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-no-char.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-no-char.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:36:02	1716847/1716847	---M--	200	added ('OK')	image/png	etag:%221a326f-57551187a7e5e%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:36:56	1638059/1638059	---M--	200	added ('OK')	image/png	etag:%2218feab-577d3aaef48b2%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-no-char-yellow.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-no-char-yellow.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:37:35	1600196/1600196	---M--	200	added ('OK')	image/png	etag:%22186ac4-5755933e97815%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-shadow.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-shadow.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:40:01	1491892/1491892	---M--	200	added ('OK')	image/png	etag:%2216c3b4-5755118781917%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-no-char-shadow.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-no-char-shadow.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:40:08	1522810/1522810	---M--	200	added ('OK')	image/png	etag:%22173c7a-57551187156a0%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-goblin.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-goblin.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:41:01	1519210/1519210	---M--	200	added ('OK')	image/png	etag:%22172e6a-5755118749e77%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-shinkan.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-shinkan.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:41:40	1519716/1519716	---M--	200	added ('OK')	image/png	etag:%22173064-57551186f6e58%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-elf.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-elf.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:44:08	1529868/1529868	---M--	200	added ('OK')	image/png	etag:%2217580c-57551186dd430%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-dwarf.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-dwarf.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:44:16	1536352/1536352	---M--	200	added ('OK')	image/png	etag:%22177160-57551187346b8%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-lizard.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-lizard.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:44:16	621/621	---M--	200	added ('OK')	image/png	etag:%2226d-5755905e214d7%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/story-line.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/story-line.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:03	291093/291093	---M--	200	added ('OK')	image/png	etag:%2247115-57ac636c29f06%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/special-icon-bg.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/special-icon-bg.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:05	10450/10450	---M--	200	added ('OK')	image/png	etag:%2228d2-5779fd8a8844f%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/navbg.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/navbg.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:06	1516190/1516190	---M--	200	added ('OK')	image/png	etag:%2217229e-575511875d30f%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-uketsuke.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/low-bg-char-uketsuke.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:06	282/282	---M--	200	added ('OK')	image/png	etag:%2211a-577a089f3dcd6%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/goodsline.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/goodsline.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:06	1229/1229	---M--	200	added ('OK')	image/png	etag:%224cd-5791a0197198c%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/dot.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/dot.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:07	2774/2774	---M--	200	added ('OK')	image/png	etag:%22ad6-57abbb07455f0%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/goods/goods-ttlbar.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/goods/goods-ttlbar.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:08	6332/6332	---M--	200	added ('OK')	image/png	etag:%2218bc-577d2a24d7c14%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/book-subttl01.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/book-subttl01.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:08	4930/4930	---M--	200	added ('OK')	image/png	etag:%221342-577d2a24fc21c%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/book-subttl02.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/book-subttl02.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
00:45:09	5667/5667	---M--	200	added ('OK')	image/png	etag:%221623-577d3a573d43f%22	http://goblinslayer.jp/wp-content/themes/goblinslayer/images/music-subttl01.png	C:/Users/Corph/Desktop/Github/web-clone2/sl-when2/goblinslayer.jp/wp-content/themes/goblinslayer/images/music-subttl01.png	(from http://goblinslayer.jp/wp-content/themes/goblinslayer/common/css/layout_20181010.css)
